record_id,clip_index,label,seq_len
1160_data_0_0.pkl,0,0,15000
1160_data_0_1.pkl,1,0,15000
1160_data_0_2.pkl,2,0,15000
1160_data_0_3.pkl,3,0,15000
1160_data_0_4.pkl,4,0,15000
1160_data_0_5.pkl,5,0,15000
1160_data_0_6.pkl,6,0,15000
1160_data_0_7.pkl,7,0,15000
1160_data_0_8.pkl,8,0,15000
1160_data_0_9.pkl,9,0,15000
1160_data_0_10.pkl,10,0,15000
1160_data_0_11.pkl,11,0,15000
1160_data_0_12.pkl,12,0,15000
1160_data_0_13.pkl,13,0,15000
1160_data_0_14.pkl,14,0,15000
1160_data_0_15.pkl,15,0,15000
1160_data_0_16.pkl,16,0,15000
1160_data_0_17.pkl,17,0,15000
1160_data_0_18.pkl,18,0,15000
1160_data_0_19.pkl,19,1,15000
1160_data_0_20.pkl,20,1,15000
1160_data_0_21.pkl,21,2,15000
1160_data_0_22.pkl,22,2,15000
1160_data_0_23.pkl,23,1,15000
1160_data_0_24.pkl,24,2,15000
1160_data_0_25.pkl,25,2,15000
1160_data_0_26.pkl,26,0,15000
1160_data_0_27.pkl,27,0,15000
1160_data_0_28.pkl,28,0,15000
1160_data_0_29.pkl,29,0,15000
1160_data_0_30.pkl,30,0,15000
1160_data_0_31.pkl,31,0,15000
1160_data_0_32.pkl,32,0,15000
1160_data_0_33.pkl,33,0,15000
1160_data_0_34.pkl,34,0,15000
1160_data_0_35.pkl,35,0,15000
1160_data_0_36.pkl,36,0,15000
1160_data_0_37.pkl,37,0,15000
1160_data_0_38.pkl,38,0,15000
1160_data_0_39.pkl,39,0,15000
1160_data_0_40.pkl,40,0,15000
1160_data_0_41.pkl,41,0,15000
1160_data_0_42.pkl,42,0,15000
1160_data_0_43.pkl,43,0,15000
1160_data_0_44.pkl,44,0,15000
1160_data_0_45.pkl,45,0,15000
1160_data_0_46.pkl,46,0,15000
1160_data_0_47.pkl,47,0,15000
1160_data_0_48.pkl,48,0,15000
1160_data_0_49.pkl,49,0,15000
1160_data_0_50.pkl,50,0,15000
1160_data_0_51.pkl,51,0,15000
1160_data_0_52.pkl,52,0,15000
1160_data_0_53.pkl,53,0,15000
1160_data_0_54.pkl,54,0,15000
1160_data_0_55.pkl,55,0,15000
1160_data_0_56.pkl,56,0,15000
1160_data_0_57.pkl,57,0,15000
1160_data_0_58.pkl,58,0,15000
1160_data_0_59.pkl,59,0,15000
1160_data_0_60.pkl,60,1,15000
1160_data_0_61.pkl,61,1,15000
1160_data_0_62.pkl,62,2,15000
1160_data_0_63.pkl,63,2,15000
1160_data_0_64.pkl,64,2,15000
1160_data_0_65.pkl,65,1,15000
1160_data_0_66.pkl,66,2,15000
1160_data_0_67.pkl,67,2,15000
1160_data_0_68.pkl,68,2,15000
1160_data_0_69.pkl,69,2,15000
1160_data_0_70.pkl,70,2,15000
1160_data_0_71.pkl,71,1,15000
1160_data_0_72.pkl,72,1,15000
1160_data_0_73.pkl,73,2,15000
1160_data_0_74.pkl,74,2,15000
1160_data_0_75.pkl,75,0,15000
1160_data_0_76.pkl,76,0,15000
1160_data_0_77.pkl,77,0,15000
1160_data_0_78.pkl,78,0,15000
1160_data_0_79.pkl,79,0,15000
1160_data_0_80.pkl,80,0,15000
1160_data_0_81.pkl,81,0,15000
1160_data_0_82.pkl,82,0,15000
1160_data_0_83.pkl,83,0,15000
1160_data_0_84.pkl,84,1,15000
1160_data_0_85.pkl,85,1,15000
1160_data_0_86.pkl,86,2,15000
1160_data_0_87.pkl,87,2,15000
1160_data_0_88.pkl,88,1,15000
1160_data_0_89.pkl,89,2,15000
1160_data_0_90.pkl,90,2,15000
1160_data_0_91.pkl,91,2,15000
1160_data_0_92.pkl,92,2,15000
1160_data_0_93.pkl,93,2,15000
1160_data_0_94.pkl,94,2,15000
1160_data_0_95.pkl,95,3,15000
1160_data_0_96.pkl,96,2,15000
1160_data_0_97.pkl,97,3,15000
1160_data_0_98.pkl,98,3,15000
1160_data_0_99.pkl,99,3,15000
1160_data_0_100.pkl,100,3,15000
1160_data_0_101.pkl,101,3,15000
1160_data_0_102.pkl,102,3,15000
1160_data_0_103.pkl,103,3,15000
1160_data_0_104.pkl,104,3,15000
1160_data_0_105.pkl,105,3,15000
1160_data_0_106.pkl,106,3,15000
1160_data_0_107.pkl,107,3,15000
1160_data_0_108.pkl,108,3,15000
1160_data_0_109.pkl,109,3,15000
1160_data_0_110.pkl,110,3,15000
1160_data_0_111.pkl,111,3,15000
1160_data_0_112.pkl,112,3,15000
1160_data_0_113.pkl,113,3,15000
1160_data_0_114.pkl,114,3,15000
1160_data_0_115.pkl,115,3,15000
1160_data_0_116.pkl,116,3,15000
1160_data_0_117.pkl,117,3,15000
1160_data_0_118.pkl,118,3,15000
1160_data_0_119.pkl,119,3,15000
1160_data_0_120.pkl,120,3,15000
1160_data_0_121.pkl,121,3,15000
1160_data_0_122.pkl,122,3,15000
1160_data_0_123.pkl,123,3,15000
1160_data_0_124.pkl,124,3,15000
1160_data_0_125.pkl,125,3,15000
1160_data_0_126.pkl,126,3,15000
1160_data_0_127.pkl,127,3,15000
1160_data_0_128.pkl,128,3,15000
1160_data_0_129.pkl,129,3,15000
1160_data_0_130.pkl,130,3,15000
1160_data_0_131.pkl,131,3,15000
1160_data_0_132.pkl,132,3,15000
1160_data_0_133.pkl,133,3,15000
1160_data_0_134.pkl,134,3,15000
1160_data_0_135.pkl,135,3,15000
1160_data_0_136.pkl,136,3,15000
1160_data_0_137.pkl,137,3,15000
1160_data_0_138.pkl,138,3,15000
1160_data_0_139.pkl,139,3,15000
1160_data_0_140.pkl,140,3,15000
1160_data_0_141.pkl,141,3,15000
1160_data_0_142.pkl,142,3,15000
1160_data_0_143.pkl,143,3,15000
1160_data_0_144.pkl,144,3,15000
1160_data_0_145.pkl,145,3,15000
1160_data_0_146.pkl,146,3,15000
1160_data_0_147.pkl,147,1,15000
1160_data_0_148.pkl,148,2,15000
1160_data_0_149.pkl,149,2,15000
1160_data_0_150.pkl,150,2,15000
1160_data_0_151.pkl,151,1,15000
1160_data_0_152.pkl,152,2,15000
1160_data_0_153.pkl,153,2,15000
1160_data_0_154.pkl,154,1,15000
1160_data_0_155.pkl,155,2,15000
1160_data_0_156.pkl,156,2,15000
1160_data_0_157.pkl,157,2,15000
1160_data_0_158.pkl,158,2,15000
1160_data_0_159.pkl,159,2,15000
1160_data_0_160.pkl,160,2,15000
1160_data_0_161.pkl,161,1,15000
1160_data_0_162.pkl,162,2,15000
1160_data_0_163.pkl,163,2,15000
1160_data_0_164.pkl,164,2,15000
1160_data_0_165.pkl,165,1,15000
1160_data_0_166.pkl,166,1,15000
1160_data_0_167.pkl,167,2,15000
1160_data_0_168.pkl,168,2,15000
1160_data_0_169.pkl,169,2,15000
1160_data_0_170.pkl,170,1,15000
1160_data_0_171.pkl,171,2,15000
1160_data_0_172.pkl,172,2,15000
1160_data_0_173.pkl,173,2,15000
1160_data_0_174.pkl,174,2,15000
1160_data_0_175.pkl,175,1,15000
1160_data_0_176.pkl,176,2,15000
1160_data_0_177.pkl,177,1,15000
1160_data_0_178.pkl,178,0,15000
1160_data_0_179.pkl,179,0,15000
1160_data_0_180.pkl,180,0,15000
1160_data_0_181.pkl,181,0,15000
1160_data_0_182.pkl,182,1,15000
1160_data_0_183.pkl,183,1,15000
1160_data_0_184.pkl,184,1,15000
1160_data_0_185.pkl,185,2,15000
1160_data_0_186.pkl,186,1,15000
1160_data_0_187.pkl,187,2,15000
1160_data_0_188.pkl,188,2,15000
1160_data_0_189.pkl,189,2,15000
1160_data_0_190.pkl,190,1,15000
1160_data_0_191.pkl,191,2,15000
1160_data_0_192.pkl,192,1,15000
1160_data_0_193.pkl,193,2,15000
1160_data_0_194.pkl,194,2,15000
1160_data_0_195.pkl,195,2,15000
1160_data_0_196.pkl,196,2,15000
1160_data_0_197.pkl,197,2,15000
1160_data_0_198.pkl,198,1,15000
1160_data_0_199.pkl,199,2,15000
1160_data_0_200.pkl,200,2,15000
1160_data_0_201.pkl,201,2,15000
1160_data_0_202.pkl,202,2,15000
1160_data_0_203.pkl,203,2,15000
1160_data_0_204.pkl,204,2,15000
1160_data_0_205.pkl,205,2,15000
1160_data_0_206.pkl,206,1,15000
1160_data_0_207.pkl,207,2,15000
1160_data_0_208.pkl,208,1,15000
1160_data_0_209.pkl,209,1,15000
1160_data_0_210.pkl,210,1,15000
1160_data_0_211.pkl,211,2,15000
1160_data_0_212.pkl,212,2,15000
1160_data_0_213.pkl,213,2,15000
1160_data_0_214.pkl,214,2,15000
1160_data_0_215.pkl,215,2,15000
1160_data_0_216.pkl,216,2,15000
1160_data_0_217.pkl,217,2,15000
1160_data_0_218.pkl,218,2,15000
1160_data_0_219.pkl,219,2,15000
1160_data_0_220.pkl,220,2,15000
1160_data_0_221.pkl,221,2,15000
1160_data_0_222.pkl,222,2,15000
1160_data_0_223.pkl,223,2,15000
1160_data_0_224.pkl,224,2,15000
1160_data_0_225.pkl,225,3,15000
1160_data_0_226.pkl,226,3,15000
1160_data_0_227.pkl,227,3,15000
1160_data_0_228.pkl,228,3,15000
1160_data_0_229.pkl,229,3,15000
1160_data_0_230.pkl,230,3,15000
1160_data_0_231.pkl,231,3,15000
1160_data_0_232.pkl,232,3,15000
1160_data_0_233.pkl,233,3,15000
1160_data_0_234.pkl,234,3,15000
1160_data_0_235.pkl,235,3,15000
1160_data_0_236.pkl,236,3,15000
1160_data_0_237.pkl,237,3,15000
1160_data_0_238.pkl,238,2,15000
1160_data_0_239.pkl,239,3,15000
1160_data_0_240.pkl,240,3,15000
1160_data_0_241.pkl,241,3,15000
1160_data_0_242.pkl,242,3,15000
1160_data_0_243.pkl,243,3,15000
1160_data_0_244.pkl,244,3,15000
1160_data_0_245.pkl,245,3,15000
1160_data_0_246.pkl,246,3,15000
1160_data_0_247.pkl,247,3,15000
1160_data_0_248.pkl,248,3,15000
1160_data_0_249.pkl,249,3,15000
1160_data_0_250.pkl,250,3,15000
1160_data_0_251.pkl,251,1,15000
1160_data_0_252.pkl,252,2,15000
1160_data_0_253.pkl,253,3,15000
1160_data_0_254.pkl,254,3,15000
1160_data_0_255.pkl,255,3,15000
1160_data_0_256.pkl,256,3,15000
1160_data_0_257.pkl,257,3,15000
1160_data_0_258.pkl,258,3,15000
1160_data_0_259.pkl,259,3,15000
1160_data_0_260.pkl,260,2,15000
1160_data_0_261.pkl,261,3,15000
1160_data_0_262.pkl,262,3,15000
1160_data_0_263.pkl,263,3,15000
1160_data_0_264.pkl,264,3,15000
1160_data_0_265.pkl,265,3,15000
1160_data_0_266.pkl,266,2,15000
1160_data_0_267.pkl,267,3,15000
1160_data_0_268.pkl,268,3,15000
1160_data_0_269.pkl,269,3,15000
1160_data_0_270.pkl,270,1,15000
1160_data_0_271.pkl,271,2,15000
1160_data_0_272.pkl,272,2,15000
1160_data_0_273.pkl,273,1,15000
1160_data_0_274.pkl,274,2,15000
1160_data_0_275.pkl,275,1,15000
1160_data_0_276.pkl,276,2,15000
1160_data_0_277.pkl,277,2,15000
1160_data_0_278.pkl,278,2,15000
1160_data_0_279.pkl,279,1,15000
1160_data_0_280.pkl,280,2,15000
1160_data_0_281.pkl,281,2,15000
1160_data_0_282.pkl,282,2,15000
1160_data_0_283.pkl,283,1,15000
1160_data_0_284.pkl,284,1,15000
1160_data_0_285.pkl,285,2,15000
1160_data_0_286.pkl,286,2,15000
1160_data_0_287.pkl,287,2,15000
1160_data_0_288.pkl,288,2,15000
1160_data_0_289.pkl,289,2,15000
1160_data_0_290.pkl,290,2,15000
1160_data_0_291.pkl,291,2,15000
1160_data_0_292.pkl,292,2,15000
1160_data_0_293.pkl,293,2,15000
1160_data_0_294.pkl,294,2,15000
1160_data_0_295.pkl,295,2,15000
1160_data_0_296.pkl,296,1,15000
1160_data_0_297.pkl,297,1,15000
1160_data_0_298.pkl,298,2,15000
1160_data_0_299.pkl,299,2,15000
1160_data_0_300.pkl,300,1,15000
1160_data_0_301.pkl,301,4,15000
1160_data_0_302.pkl,302,4,15000
1160_data_0_303.pkl,303,4,15000
1160_data_0_304.pkl,304,4,15000
1160_data_0_305.pkl,305,4,15000
1160_data_0_306.pkl,306,4,15000
1160_data_0_307.pkl,307,4,15000
1160_data_0_308.pkl,308,4,15000
1160_data_0_309.pkl,309,4,15000
1160_data_0_310.pkl,310,4,15000
1160_data_0_311.pkl,311,4,15000
1160_data_0_312.pkl,312,4,15000
1160_data_0_313.pkl,313,4,15000
1160_data_0_314.pkl,314,4,15000
1160_data_0_315.pkl,315,4,15000
1160_data_0_316.pkl,316,4,15000
1160_data_0_317.pkl,317,4,15000
1160_data_0_318.pkl,318,4,15000
1160_data_0_319.pkl,319,4,15000
1160_data_0_320.pkl,320,4,15000
1160_data_0_321.pkl,321,4,15000
1160_data_0_322.pkl,322,4,15000
1160_data_0_323.pkl,323,4,15000
1160_data_0_324.pkl,324,4,15000
1160_data_0_325.pkl,325,4,15000
1160_data_0_326.pkl,326,4,15000
1160_data_0_327.pkl,327,4,15000
1160_data_0_328.pkl,328,4,15000
